Title,Price,Size,Rating,Review Count,Category,Region,ABV,Body,Sweet-Dry Scale,Style,Tasting Notes,Food Pairing
Josh Cellars Pinot Noir,17.84,750.0ml bottle,4.9,(22 Reviews),Pinot Noir,"North Coast, United States",,Light,,Fruity & Light,"Cherry, Chocolate, Vanilla, Intense","Duck & Game Bird, Cheese Fresh & Soft"
Spy Valley Rose Pinot Noir,17.84,750.0ml bottle,,,Rose Wine,New Zealand,0.13,,,,,
Gerard Bertrand Cote Des Roses Sauvignon Blanc,17.84,750.0ml bottle,,,Sauvignon Blanc,,0.15,,,,,
Chacewater Sauvignon Blanc,17.84,750.0ml bottle,,,Sauvignon Blanc,"North Coast, United States",0.14,Light,Dry,,,"Fish White, Chicken"
Quady North Rose,17.82,750.0ml bottle,,,Rose Wine,"Oregon, United States",0.13,,,,,
Napa Cellars Chardonnay,17.79,750.0ml bottle,3,(1 Reviews),Chardonnay,"Napa Valley, United States",0.14,Full,Dry,Rich & Velvety,"Apple, Pear","Cheese Fresh & Soft, Chicken, Fish Meaty & Oily, Fish White, Shellfish"
Casillero del Diablo Cabernet/Syrah Reserva Privada,17.79,750.0ml bottle,,,Red Blend,"Maipo Valley, Chile",,,,,,
Diamant de Loire Cremant de Loire Quartz Rose,17.79,750.0ml bottle,,,Rose Wine,"Loire, France",0.11,,,,,
Principe Viana Garnacha Rosado,17.79,750.0ml bottle,,,Rose Wine,"Navarra, Spain",0.15,,,,,
La Bernarde Les Hauts du Luc Cotes de Provence Rose,17.79,750.0ml bottle,,,Rose Wine,,,,,,,
Jackson-Triggs Reserve Sauvignon Blanc,17.79,750.0ml bottle,,,Sauvignon Blanc,Canada,,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Disruption Cabernet Sauvignon,17.78,750.0ml bottle,,,Cabernet Sauvignon,"Washington, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Andre Lurton Chateau Bonnet Bordeaux Red,17.78,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,,,,,
Nine Stones Shiraz Barossa,17.78,750.0ml bottle,,,Syrah / Shiraz,"South Australia, Australia",0.14,Full,Dry,Earthy & Spicy,"Cherry, Chocolate, Supple","Pork, Duck & Game Bird"
Ramos Pinto RP 20 Year,17.77,750.0ml bottle,,,Dessert Wine,Spain,,,,,,
Writers Block Petite Syrah,17.76,750.0ml bottle,,,Syrah / Shiraz,"North Coast, United States",,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Aigner Sandgrube Grener Veltliner,17.75,750.0ml bottle,,,Gruner Veltliner,"Kremstal, Austria",0.13,Light,Dry,Fruity & Crisp,,"Chicken, Shellfish, Cheese Creamy & Bloomy"
Majors Hill Sauvignon Blanc,17.75,750.0ml bottle,,,Sauvignon Blanc,South Africa,0.14,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Artesa Elements Cabernet,17.74,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Owl Ridge Cabernet Sauvignon,17.74,750.0ml bottle,,,Cabernet Sauvignon,,0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Fox Run Cabernet Franc Lemberger,17.74,750.0ml bottle,,,Cabernet Franc,,,Medium,,,,
Grove Mill Pinot Noir,17.74,750.0ml bottle,,,Pinot Noir,"Marlborough, New Zealand",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Zonin Winemaker's Collection Pinot Noir 2013,17.74,1.5L bottle,,,Pinot Noir,"Veneto, Italy",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Amethystos White,17.74,750.0ml bottle,,,Sauvignon Blanc,Greece,,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Domaine Bousquet Gran Chardonnay,17.73,750.0ml bottle,,,Chardonnay,"Mendoza, Argentina",0.15,Full,Dry,Rich & Velvety,"Apple, Creamy, Pear, Round, Vanilla","Cheese Creamy & Bloomy, Cheese Fresh & Soft, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Chicken, Fish Meaty & Oily, Pasta, Shellfish, Turkey"
Rosenblum Petite Sirah,17.73,750.0ml bottle,,,Syrah / Shiraz,"California, United States",0.15,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Chavet Fils Menetou-Salon Sauvignon Blanc,17.72,750.0ml bottle,,,Sauvignon Blanc,"Vin de Pays , France",,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Wine Cube Merlot,17.69,3.0L box,,,Merlot,,,,,,,
Mayoral Jumilla Red Blend Reservado,17.69,750.0ml bottle,,,Red Blend,"Jumilla, Spain",,,,,,
Chatom Vineyards Zinfandel,17.67,750.0ml bottle,,,Zinfandel,"Sierra Foothills, United States",0.16,Medium,,,,
Hanna Sauvignon Blanc,17.66,750.0ml bottle,,,Sauvignon Blanc,"Russian River Valley, United States",0.13,Light,Semi-Sweet / Off-Dry,,"Acidic, Crisp, Fresh, Fruity","Cheese Fresh & Soft, Chicken, Salads & Greens"
Vina Robles Chardonnay,17.65,750.0ml bottle,,,Chardonnay,"California, United States",0.15,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Bee's Box California Pinot Noir,17.64,750.0ml bottle,,,Pinot Noir,,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Bodegas Hermanos Pecina Senorio de P. Pecina Rosado,17.64,750.0ml bottle,,,Rioja Blend,"Rioja, Spain",0.13,,,,,
Ryder Estate Chardonnay,17.63,750.0ml bottle,,,Chardonnay,"California, United States",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Steelhead Chardonnay 2011,17.63,750.0ml bottle,,,Chardonnay,"California, United States",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Chateau Moncontour Vouvray Brut,17.62,750.0ml bottle,,,Other Sparkling Wine,"Loire, France",0.12,,,,,
Portia Ebeia Temp,17.62,750.0ml bottle,,,Tempranillo,"Castilla y Leon, Spain",0.13,Medium,Dry,Sweet & Smooth,,"Tomatoes, Cured Meats"
Terres Blondes Loire Gamay,17.60,750.0ml bottle,,,Gamay,"Loire, France",,Light,Dry,Fruity & Light,,"Chicken, Fish Meaty & Oily, Mushrooms"
Les Petits Diables Cotes de Provence Rose,17.60,750.0ml bottle,,,Rose Wine,"Cotes de Provence, France",,,,,,
Gruet Blanc de Blancs,17.59,750.0ml bottle,4.8,(2 Reviews),American Sparkling,"New Mexico, United States",0.12,,,,,
Franco Francesco Barbera d'Asti,17.59,750.0ml bottle,,,Barbera,,,Medium,Dry,Fruity & Light,,"Beef, Fish Meaty & Oily, Root Vegetables, Mushrooms"
Juve Y Camps Gran Juve Gran Reserva Brut,17.59,750.0ml bottle,,,Cava,"Cava, Spain",0.12,,,,,
Twelve Barrel Ranch Chardonnay,17.59,750.0ml bottle,,,Chardonnay,"California, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Palmer Old Roots Chardonnay,17.59,750.0ml bottle,,,Chardonnay,"New York, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Domaine Daniel Pollier Macon-Villages,17.59,750.0ml bottle,,,Chardonnay,"Maconnais, France",,,,,,
Hess Select Malbec,17.59,750.0ml bottle,,,Malbec,"Mendoza, Argentina",0.14,Full,Dry,Big & Bold,,"Pork, Mushrooms"
Villa Giada Moscato Asti Andrea,17.59,750.0ml bottle,,,Muscat / Moscato / Moscatel,"Piedmonte, Italy",0.07,Light,Semi-Sweet / Off-Dry,Sweet & Bold,,Duck & Game Bird
Mocavero Primitivo Salento,17.59,750.0ml bottle,,,Other Red,"Puglia IGT, Italy",0.14,,,,,
Vintage Ink Whisky Barrel Red,17.59,750.0ml bottle,,,Other Red,Canada,,,,,,
Villa San Juliette Sirah,17.59,750.0ml bottle,,,Petite Sirah,"Paso Robles, United States",,Full,,,,
Kin & Cascadia Pinot Noir,17.59,750.0ml bottle,,,Pinot Noir,"Willamette Valley, United States",0.14,,,,,
Fog Head Pinot Noir,17.59,750.0ml bottle,,,Pinot Noir,"Monterey County, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Col De Salici Valdo Prosec Ex Dry,17.59,750.0ml bottle,,,Prosecco,"Veneto, Italy",0.12,,,,,
Ruffino Il Ducale Tuscan Red Blend,17.59,750.0ml bottle,4.7,(2 Reviews),Proprietary Red Blend,"Tuscany, Italy",0.14,,,,,
Borgo Scopeto Chianti Classico,17.59,750.0ml bottle,,,Chianti Blend,"Tuscany, Italy",0.14,Medium,Dry,Big & Bold,"Cherry, Fruity, Vanilla, Woody","Beef, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Chicken, Cured Meats, Duck & Game Bird, Lamb, Mushrooms, Pasta, Turkey"
Fleurs De Prairie Rose,17.59,750.0ml bottle,4.9,(9 Reviews),Rose Wine,"Cotes de Provence, France",0.13,,,,,
La Crema Monterey Pinot Noir Rose,17.59,750.0ml bottle,,,Rose Wine,"Monterey, United States",0.14,,Dry,Fruity & Floral,"Citrus, Minerality, Red Fruit, Watermelon","Fish Meaty & Oily, Fish White, Fruit Citrus, Shellfish, Tomatoes"
Smoke Tree Rose,17.59,750.0ml bottle,4.9,(4 Reviews),Rose Wine,"Sonoma Valley, United States",0.13,,,,,
Cape Mentelle Rose,17.59,750.0ml bottle,,,Rose Wine,"Margaret River, Australia",0.14,,,,,
Lake Sonoma Sauvignon Blanc,17.59,750.0ml bottle,,,Sauvignon Blanc,"Sonoma County, United States",0.14,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Rancho Sisquoc Sauvignon Blanc,17.59,750.0ml bottle,,,Sauvignon Blanc,"California, United States",0.14,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Chill White,17.59,750.0ml bottle,,,Sauvignon Blanc,New Zealand,0.12,,,,,
Groth Sauvignon Blanc 2014,17.59,750.0ml bottle,,,Sauvignon Blanc,"California, United States",0.14,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Domiciano de Barrancas,17.59,750.0ml bottle,,,Syrah / Shiraz,"Mendoza, Argentina",,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Robt Hall Syrah 2010,17.59,750.0ml bottle,,,Syrah / Shiraz,"California, United States",0.15,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Haraszthy Amador Cty Zinfandel,17.59,750.0ml bottle,,,Zinfandel,"California, United States",,Medium,,,,
Candor Zinfandel,17.59,750.0ml bottle,,,Zinfandel,"Paso Robles, United States",0.15,Medium,,,,
Masseria Coste Di Brenta Villa Elcie Montepulciano,17.58,750.0ml bottle,,,Montepulciano,Italy,,,,,,
Fioretti Chianti,17.58,750.0ml bottle,,,Chianti Blend,"Tuscany, Italy",,,,,,
Dom Spiropoulis Red Stag,17.58,750.0ml bottle,,,Red Blend,"Peloponnese, Greece",,,,,,
Thomas Haag Schloss Lieser,17.57,750.0ml bottle,,,Riesling,Australia,,Light,Semi-Sweet / Off-Dry,Sweet & Bold,,"Duck & Game Bird, Cheese Fresh & Soft"
Wolf Blass Yellow Label Cabernet Sauviginon,17.54,750.0ml bottle,,,Cabernet Sauvignon,"South Australia, Australia",,Full,Dry,,,
Cuvee Vieilles Vignes Rhone,17.54,750.0ml bottle,,,Grenache / Garnacha / Cannonau,"Rhone, France",,Medium,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Eric Kent Rose,17.54,750.0ml bottle,,,Rose Wine,"California, United States",,,,,,
Lucien Albrecht Pinot Blanc,17.53,750.0ml bottle,,,Pinot Blanc,"Alsace, France",,,,,,
Luquet Macon Villages Les Mulots,17.52,750.0ml bottle,,,Chardonnay,,0.13,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Rock View Pinot Noir Reserve Monterey County,17.51,750.0ml bottle,,,Pinot Noir,,0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Baumard Le Logis Anjou,17.50,750.0ml bottle,,,Cabernet Franc,"Loire, France",,Medium,,,,
Glazebrook Chardonnay,17.50,750.0ml bottle,,,Chardonnay,New Zealand,0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Jelu Estate Chenin Blanc,17.50,750.0ml bottle,,,Chenin Blanc,,,,,,,
Barkan Reserve Merlot,17.50,750.0ml bottle,,,Merlot,Israel,,,,,,
Sant'Evasio Moscato D'Asti,17.50,750.0ml bottle,,,Muscat / Moscato / Moscatel,"Piedmonte, Italy",,Light,Semi-Sweet / Off-Dry,Sweet & Bold,,Duck & Game Bird
Ioppa Rusin Colline Novaresi Nebbiolo Rose,17.50,750.0ml bottle,,,Rose Wine,"Piedmonte, Italy",,Medium,Dry,,,"Beef, Mushrooms"
Lini Lambrusco Bianco,17.50,750.0ml bottle,,,Other Sparkling Wine,"Emilia-Romagna, Italy",0.11,,,,,
FitVine Prosecco,17.50,750.0ml bottle,,,Prosecco,"Prosecco, Italy",0.11,,Dry,,,
Barton & Guestier Thomas Barton Reserve Bordeaux,17.50,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.13,,Dry,Fruity & Light,"Anise, Berry, Cherry, Fruity, Mint, Red Fruit, Smooth","Beef, Cheese Creamy & Bloomy, Cheese Fresh & Soft, Chicken, Pasta, Turkey"
El Prenda Rioja,17.50,750.0ml bottle,,,Rioja Blend,"Rioja, Spain",0.13,,,,,Lamb
L'Airone Vermentino,17.50,750.0ml bottle,,,Vermentino / Rolle,"Sardinia, Italy",,,,,,
Chateau La Rame Bordeaux Rose,17.50,750.0ml bottle,,,Rose Wine,"Bordeaux, France",0.13,,,,,
Pierre Marie Chermette Vissoux Griotes Beaujolais Rose,17.50,750.0ml bottle,,,Rose Wine,"Beaujolais, France",,,,,,
Fattoria Lavacchio Puro Chianti,17.50,750.0ml bottle,,,Sangiovese,"Tuscany, Italy",,Medium,Dry,,,
Yorkville Cellars Semillon,17.50,750.0ml bottle,,,Semillon,,,,,,,
Bodegas Mocen Verdejo Rueda Especial,17.50,750.0ml bottle,,,Verdejo,,,,,,,
Tishbi Estate Viognier,17.50,750.0ml bottle,,,Viognier,,,,,,,
Podere 29 Avia Pervia Primitivo,17.50,750.0ml bottle,,,Zinfandel,"Puglia IGT, Italy",0.14,Medium,,,,
Revelry Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,"Washington, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
The Ghost Of 413 Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,"Washington, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Austerity Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,"Paso Robles, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Mork Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,"Washington, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Carmina Luna Red Wine,17.49,3.0L bottle,,,Cabernet Sauvignon,"Jumilla, Spain",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Weed Cellars Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,"Central Coast, United States",,Full,Dry,Big & Bold,,
Nieto Senetiner Cabernet Reserve,17.49,750.0ml bottle,,,Cabernet Sauvignon,Argentina,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Archivist Cabernet,17.49,750.0ml bottle,,,Cabernet Sauvignon,United States,0.13,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Cantina Vivallis Cabernet Sauvignon,17.49,750.0ml bottle,,,Cabernet Sauvignon,Italy,0.13,,,,,
Villa Raiano Campania Aglianico  I.G.T.,17.49,750.0ml bottle,,,Aglianico,"Campania, Italy",0.13,,Dry,Earthy & Spicy,"Acidic, Anise, Cherry, Dark Fruit","Beef, Cheese Hard Aged, Mushrooms"
Nora Albarino,17.49,750.0ml bottle,,,Albarino,,0.13,Light,Dry,Fruity & Crisp,,"Shellfish, Fish White, Salads & Greens, Fruit Citrus, Root Vegetables"
Neboa Albarino,17.49,750.0ml bottle,,,Albarino,"Rias Baixas, Spain",0.12,Light,Dry,Fruity & Crisp,,"Shellfish, Fish White, Salads & Greens, Fruit Citrus, Root Vegetables"
Vinabade Albarino,17.49,750.0ml bottle,,,Albarino,"Rias Baixas, Spain",,Light,Dry,Fruity & Crisp,,"Shellfish, Fish White, Salads & Greens, Fruit Citrus, Root Vegetables"
Gagliardo Barbera,17.49,750.0ml bottle,,,Barbera,Italy,,Medium,Dry,Fruity & Light,,"Beef, Fish Meaty & Oily, Root Vegetables, Mushrooms"
Domaine Les Pins Bourgueil,17.49,750.0ml bottle,,,Cabernet Franc,"Loire, France",,Medium,,,,
Bennett Family Reserve Chardonnay,17.49,750.0ml bottle,,,Chardonnay,"Russian River Valley, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Gray Ghost Victorian White,17.49,750.0ml bottle,,,Chardonnay,"Virginia, United States",,,,,,
Domaine Chene Macon Villages,17.49,750.0ml bottle,,,Chardonnay,"Maconnais, France",,,Dry,Rich & Velvety,,
Three Knights Sonoma Chardonnay,17.49,750.0ml bottle,,,Chardonnay,"Russian River Valley, United States",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Gray Monk Chardonnay,17.49,750.0ml bottle,,,Chardonnay,Canada,0.12,Full,Dry,,,
Oak Farm Vineyards Chardonnay,17.49,750.0ml bottle,,,Chardonnay,"Lodi, United States",0.14,,Dry,Light & Dry,"Apple, Banana, Butter, Creamy, Crisp, Fresh, Tropical, Vanilla","Cheese Creamy & Bloomy, Cheese Fresh & Soft, Nuts, Pasta, Pork, Salads & Greens, Shellfish"
"Weed Cellars Chenin Blanc, Viognier Blend",17.49,750.0ml bottle,,,White Blend,"California, United States",0.13,,Dry,,"Balanced, Bright, Crisp, Dry, Floral, Fruity, Honey, Melon, Stone Fruit","Cheese Nutty & Semi-Firm, Fish White, Shellfish"
Morgenhof Chenin Blanc,17.49,750.0ml bottle,,,Chenin Blanc,"Stellenbosch, South Africa",0.14,Light,,,,
Bonny Doon Grenache Clos De Gilroy 2013,17.49,750.0ml bottle,,,Grenache / Garnacha / Cannonau,"California, United States",0.13,Medium,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Baron De Ley Varietale Garnacha,17.49,750.0ml bottle,,,Grenache / Garnacha / Cannonau,Spain,0.15,Medium,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Costadoria Mont'So Cannonau di Sardegna D.O.C.,17.49,750.0ml bottle,,,Grenache / Garnacha / Cannonau,"Sardinia, Italy",0.15,,Dry,Earthy & Spicy,"Berry, Cherry, Herbal, Spicy","Cheese Creamy & Bloomy, Cured Meats, Lamb, Pork"
Rooftop Reds Gruner Veltliner,17.49,750.0ml bottle,,,Gruner Veltliner,"New York, United States",0.12,Medium,Dry,Fruity & Crisp,,
Cosse Maisonneuve Solis Cahors,17.49,750.0ml bottle,,,Malbec,"Cahors, France",,Full,Dry,Big & Bold,,"Pork, Mushrooms"
Armonia Malbec,17.49,750.0ml bottle,,,Malbec,,,,,,,
Andre Bregeon Muscadet 2013,17.49,750.0ml bottle,,,Melon de Bourgogne,"Loire, France",0.12,Light,,,,
Chevalier Muscadet Cotes Grand Lieu,17.49,750.0ml bottle,,,Melon de Bourgogne,"Loire, France",0.12,Light,,,,
Cantina Vivallis Merlot,17.49,750.0ml bottle,,,Merlot,Italy,,,,,,
Borgo Lame Moscato D'Asti,17.49,750.0ml bottle,,,Muscat / Moscato / Moscatel,,,,,,,
Domaine Bousquet Sparkling White Brut,17.49,750.0ml bottle,,,Other Sparkling Wine,Argentina,,,Dry,,,
"La Trota ""The Trout"" Pinot Grigio",17.49,750.0ml bottle,,,Pinot Grigio,Italy,,Light,Dry,,,"Shellfish, Salads & Greens"
SUHRU Pinot Grigio,17.49,750.0ml bottle,,,Pinot Grigio,"New York, United States",,Light,Dry,,,"Shellfish, Salads & Greens"
Avelina Pinot Grigio,17.49,750.0ml bottle,,,Pinot Grigio,"Central Coast, United States",,Light,Dry,,,"Shellfish, Salads & Greens"
Antonin Rodet Bourgogne Red,17.49,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,Dry,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Yarra Valley Pinot Noir,17.49,750.0ml bottle,,,Pinot Noir,Australia,0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Zorzettig Pinot Nero,17.49,750.0ml bottle,,,Pinot Noir,"Friuli-Venezia Giulia, Italy",,,Dry,Fruity & Light,,
Les Floreales Prosecco,17.49,750.0ml bottle,,,Prosecco,,,,,,,
Beronia Rioja Crianza,17.49,750.0ml bottle,,,Rioja Blend,"Rioja, Spain",0.14,Medium,Dry,Sweet & Smooth,,"Tomatoes, Cured Meats"
Chateau La Naude Bordeaux Rouge,17.49,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",0.14,,,,,
Smoked Red Blend by Dona Paula,17.49,750.0ml bottle,,,Proprietary Red Blend,"Mendoza, Argentina",0.14,,Dry,Big & Bold,"Jammy, Red Fruit, Silky, Smoky, Smooth, Spicy, Toasty, Vanilla, Velvety","Beef, Cured Meats, Fruit Dried, Lamb, Root Vegetables"
Hitching Post Generation Red,17.49,750.0ml bottle,,,Rhone Blend,"California, United States",,,,,,
Selbach Saar Riesling Kabinnet,17.49,750.0ml bottle,,,Riesling,"Saar, Germany",,Light,Semi-Sweet / Off-Dry,Sweet & Bold,,"Duck & Game Bird, Cheese Fresh & Soft"
Cardedu Nuo Vermentino di Sardegna,17.49,750.0ml bottle,,,Vermentino / Rolle,"Sardinia, Italy",,Light,,,,
Piero Mancini Vermentino di Gallura Sardina,17.49,750.0ml bottle,,,Vermentino / Rolle,,,,,,,
Lageder Rosato Lagrein,17.49,750.0ml bottle,,,Rose Wine,Italy,0.13,,,,,
Canvas Collection Pinot Noir Rose,17.49,750.0ml bottle,,,Rose Wine,"Central Valley, United States",0.13,Light,,,,"Fish Meaty & Oily, Duck & Game Bird"
Humberto Canale Estate Sauvignon Blanc,17.49,750.0ml bottle,,,Sauvignon Blanc,Argentina,0.14,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Tokara Sauvignon Blanc,17.49,750.0ml bottle,,,Sauvignon Blanc,South Africa,,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Hidden Valley Sauvignon Blanc,17.49,750.0ml bottle,,,Sauvignon Blanc,"Stellenbosch, South Africa",,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Livio Felluga Sauvignon Blanc,17.49,750.0ml bottle,,,Sauvignon Blanc,Italy,,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Leeuwin Siblings Shiraz,17.49,750.0ml bottle,,,Syrah / Shiraz,"Western Australia, Australia",0.14,Full,Dry,Big & Bold,,"Duck & Game Bird, Turkey, Chicken"
Jip Jip Rocks Shiraz Cabernet,17.49,750.0ml bottle,,,Syrah / Shiraz,,0.15,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Opalo Syrah,17.49,750.0ml bottle,,,Syrah / Shiraz,"Mendoza, Argentina",,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
The Unexpected Shiraz,17.49,750.0ml bottle,,,Syrah / Shiraz,Australia,,,Dry,,,
Nobles Rives Cave De Tain Crozes Hermitage,17.49,750.0ml bottle,,,Syrah / Shiraz,,0.12,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Point Ormond Shiraz,17.49,750.0ml bottle,,,Syrah / Shiraz,,,,,,,
Biokult Rose Secco,17.49,750.0ml bottle,,,Sparkling Rose Wine,Italy,,,,,,
Thomas Henry Zinfandel,17.49,750.0ml bottle,,,Zinfandel,"California, United States",0.14,Medium,,,,
Frogs Leap Zinfandel,17.49,375.0ml bottle,,,Zinfandel,"California, United States",0.14,Medium,,,,
Dalton Zinfandel 2006,17.49,750.0ml bottle,,,Zinfandel,Israel,0.15,Medium,,,,
Courtney Benham Cabernet Central Coast,17.48,750.0ml bottle,,,Cabernet Sauvignon,,0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Reserve Lot 28 Napa Chardonnay,17.47,750.0ml bottle,,,Chardonnay,"California, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Silver Palm Cabernet Sauvignon,17.46,750.0ml bottle,4.8,(3 Reviews),Cabernet Sauvignon,"North Coast, United States",0.15,Full,Dry,Big & Bold,"Anise, Cherry, Chocolate, Currant, Dark Fruit, Dry, Oak, Silky, Smooth, Tobacco","Beef, Cured Meats, Duck & Game Bird"
Ramsay Cabernet Napa Lot,17.46,750.0ml bottle,,,Cabernet Sauvignon,"California, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Dubost Beaujolais Villages,17.46,750.0ml bottle,,,Gamay,"Beaujolais Villages, France",0.13,,,,,Duck & Game Bird
Ramsay Merlot,17.46,750.0ml bottle,,,Merlot,"California, United States",0.14,Medium,Dry,Big & Bold,,"Duck & Game Bird, Tomatoes"
Jules Taylor Pinot Gris,17.46,750.0ml bottle,,,Pinot Grigio,New Zealand,,Light,Dry,,,"Shellfish, Salads & Greens"
Ramsay Pinot Noir Northcoast,17.46,750.0ml bottle,,,Pinot Noir,"California, United States",,Light,Dry,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Los Pinos Ranch Vineyards Rosie the Riveter ,17.46,750.0ml bottle,,,Rose Wine,"Texas, United States",0.12,,Semi-Sweet / Off-Dry,Fruity & Floral,"Peach, Red Fruit, Rose Petal","Cheese Fresh & Soft, Cheese Stinky, Dessert Fruit"
Torbreck Woodcutters Semillon,17.46,750.0ml bottle,,,Semillon,"Barossa Valley, Australia",,Full,,,,
Ramsay North Coast Petite Sirah,17.46,750.0ml bottle,,,Syrah / Shiraz,"North Coast, United States",0.13,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Henri De Montignac Bordeaux,17.45,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Quinta Das Carvalhas Late Bottled Vintage,17.44,750.0ml bottle,,,Port Blend,,0.20,,Sweet,,,
Barnard Griffin Syrah,17.44,750.0ml bottle,,,Syrah / Shiraz,"Washington, United States",0.14,Full,,,,
J California Pinot Gris,17.43,750.0ml bottle,,,Pinot Grigio,"California, United States",,,,,,
Left Coast Cellars Chardonnay,17.41,750.0ml bottle,,,Chardonnay,"Willamette Valley, United States",0.13,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
"Nugan Cabernet Sauvingnon ""Alcira"" 2012",17.40,750.0ml bottle,,,Cabernet Sauvignon,Australia,0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Sterling Napa Valley Chardonnay,17.39,750.0ml bottle,,,Chardonnay,"Napa Valley, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
The Gatekeeper Shiraz,17.38,750.0ml bottle,,,Syrah / Shiraz,"McLaren Vale, Australia",,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
